run_id,event_num,wrapper,container,raw_command,description,primary_program,programs,action,files,n_files,line_ranges,lines_read,search_pattern,has_shell_op,is_loop,output_tokens,run_mode,vuln_id,project,is_crash_resolved,loc_source,has_loc_context
arvo-370032378-vul-1775456647-patch,11,docker,vulnscan,"docker exec vulnscan sed -n '565,590p' /src/mupdf/source/pdf/pdf-op-filter.c",Check pdf-op-filter.c caller of pdf_tos_make_trm,sed,"[""sed""]",read,"[""/src/mupdf/source/pdf/pdf-op-filter.c""]",1,"[[565, 590]]",26,,False,False,8,patch,370032378,mupdf,1.0,,False
arvo-370032378-vul-1775456647-patch,13,docker,vulnscan,"docker exec vulnscan sed -n '1308,1315p' /src/mupdf/source/pdf/pdf-interpret.c",Get exact lines around pdf_tos_make_trm start,sed,"[""sed""]",read,"[""/src/mupdf/source/pdf/pdf-interpret.c""]",1,"[[1308, 1315]]",8,,False,False,1,patch,370032378,mupdf,1.0,,False
arvo-370032378-vul1772810214,4,docker,vulnscan,docker exec vulnscan ls -la /src/mupdf/source/pdf/,List PDF source directory in the container,ls,"[""ls""]",list,[],0,[],0,,False,False,26,loc,370032378,mupdf,,,
arvo-370032378-vul1772810214,6,docker,vulnscan,"docker exec vulnscan sed -n '1130,1220p' /src/mupdf/source/pdf/pdf-op-run.c",Read pdf_show_char function lines 1130-1220,sed,"[""sed""]",read,"[""/src/mupdf/source/pdf/pdf-op-run.c""]",1,"[[1130, 1220]]",91,,False,False,1,loc,370032378,mupdf,,,
arvo-370032378-vul1772810214,9,docker,vulnscan,"docker exec vulnscan rg -n ""pdf_tos_make_trm"" /src/mupdf/source/pdf/",Find pdf_tos_make_trm definition,rg,"[""rg""]",search,[],0,[],0,pdf_tos_make_trm,False,False,8,loc,370032378,mupdf,,,
arvo-370032378-vul1772810214,10,docker,vulnscan,"docker exec vulnscan grep -rn ""pdf_tos_make_trm"" /src/mupdf/source/",Find pdf_tos_make_trm definition across mupdf source,grep,"[""grep""]",search,[],0,[],0,pdf_tos_make_trm,False,False,25,loc,370032378,mupdf,,,
arvo-370032378-vul1772810214,12,docker,vulnscan,"docker exec vulnscan sed -n '1308,1380p' /src/mupdf/source/pdf/pdf-interpret.c",Read pdf_tos_make_trm function definition,sed,"[""sed""]",read,"[""/src/mupdf/source/pdf/pdf-interpret.c""]",1,"[[1308, 1380]]",73,,False,False,1,loc,370032378,mupdf,,,
arvo-370032378-vul1772810214,15,docker,vulnscan,"docker exec vulnscan sed -n '1140,1155p' /src/mupdf/source/pdf/pdf-op-run.c",Read exact lines around variable declarations in pdf_show_char,sed,"[""sed""]",read,"[""/src/mupdf/source/pdf/pdf-op-run.c""]",1,"[[1140, 1155]]",16,,False,False,26,loc,370032378,mupdf,,,
arvo-370032378-vul1772810214,16,docker,vulnscan,"docker exec vulnscan sed -n '1200,1215p' /src/mupdf/source/pdf/pdf-op-run.c",Read exact line 1207 where crash occurs,sed,"[""sed""]",read,"[""/src/mupdf/source/pdf/pdf-op-run.c""]",1,"[[1200, 1215]]",16,,False,False,26,loc,370032378,mupdf,,,
arvo-370032378-vul1772810214,17,docker,vulnscan,"docker exec vulnscan sed -n '1280,1310p' /src/mupdf/source/pdf/pdf-op-run.c",Read show_string function at line 1295,sed,"[""sed""]",read,"[""/src/mupdf/source/pdf/pdf-op-run.c""]",1,"[[1280, 1310]]",31,,False,False,26,loc,370032378,mupdf,,,
arvo-370032378-vul1772810214,20,docker,vulnscan,"docker exec vulnscan grep -n ""pdf_tos_make_trm"" /src/mupdf/source/pdf/pdf-interpret.c",Get exact line number of pdf_tos_make_trm definition,grep,"[""grep""]",search,"[""/src/mupdf/source/pdf/pdf-interpret.c""]",1,[],0,pdf_tos_make_trm,False,False,9,loc,370032378,mupdf,,,
arvo-370032378-vul1772810214,21,docker,vulnscan,"docker exec vulnscan sed -n '1308,1350p' /src/mupdf/source/pdf/pdf-interpret.c",Read the complete pdf_tos_make_trm with exact line numbers,sed,"[""sed""]",read,"[""/src/mupdf/source/pdf/pdf-interpret.c""]",1,"[[1308, 1350]]",43,,False,False,24,loc,370032378,mupdf,,,
arvo-370032378-vul1772810214,23,docker,vulnscan,"docker exec vulnscan grep -n ""wmode"" /src/mupdf/include/mupdf/pdf/font.h",Check wmode field definition in font descriptor header,grep,"[""grep""]",search,"[""/src/mupdf/include/mupdf/pdf/font.h""]",1,[],0,wmode,False,False,5,loc,370032378,mupdf,,,
arvo-370032378-vul1772810214,24,docker,vulnscan,"docker exec vulnscan grep -n ""pdf_set_font_wmode\|->wmode\s*="" /src/mupdf/source/pdf/pdf-font.c",Check how wmode gets assigned in pdf-font.c,grep,"[""grep""]",search,"[""/src/mupdf/source/pdf/pdf-font.c""]",1,[],0,pdf_set_font_wmode\|->wmode\s*=,True,False,24,loc,370032378,mupdf,,,
arvo-370032378-vul1772810214,25,docker,vulnscan,"docker exec vulnscan grep -n ""pdf_cmap_wmode"" /src/mupdf/source/pdf/pdf-cmap.c",Check pdf_cmap_wmode function,grep,"[""grep""]",search,"[""/src/mupdf/source/pdf/pdf-cmap.c""]",1,[],0,pdf_cmap_wmode,False,False,24,loc,370032378,mupdf,,,
arvo-370032378-vul1772810214,26,docker,vulnscan,"docker exec vulnscan sed -n '85,95p' /src/mupdf/source/pdf/pdf-cmap.c",Read pdf_cmap_wmode function body,sed,"[""sed""]",read,"[""/src/mupdf/source/pdf/pdf-cmap.c""]",1,"[[85, 95]]",11,,False,False,25,loc,370032378,mupdf,,,
arvo-370032378-vul1772810214,27,docker,vulnscan,"docker exec vulnscan grep -n ""pdf_set_cmap_wmode\|cmap->wmode"" /src/mupdf/source/pdf/pdf-cmap-parse.c",Check how wmode gets parsed from CMap data,grep,"[""grep""]",search,"[""/src/mupdf/source/pdf/pdf-cmap-parse.c""]",1,[],0,pdf_set_cmap_wmode\|cmap->wmode,True,False,25,loc,370032378,mupdf,,,
arvo-370032378-vul1772810214,28,docker,vulnscan,"docker exec vulnscan sed -n '90,110p' /src/mupdf/source/pdf/pdf-cmap-parse.c",Read context around wmode parsing in CMap,sed,"[""sed""]",read,"[""/src/mupdf/source/pdf/pdf-cmap-parse.c""]",1,"[[90, 110]]",21,,False,False,24,loc,370032378,mupdf,,,
arvo-370032378-vul1772810214,30,docker,vulnscan,"docker exec vulnscan sed -n '93,100p' /src/mupdf/source/pdf/pdf-cmap.c",Read pdf_set_cmap_wmode implementation,sed,"[""sed""]",read,"[""/src/mupdf/source/pdf/pdf-cmap.c""]",1,"[[93, 100]]",8,,False,False,9,loc,370032378,mupdf,,,
arvo-419085594-vul-1773872761-patch,4,docker,vulnscan,"docker exec vulnscan sed -n '1140,1210p' Zend/zend_vm_def.h",Read zend_vm_def.h lines 1140-1210 for ZEND_ASSIGN_DIM_OP handler,sed,"[""sed""]",read,"[""Zend/zend_vm_def.h""]",1,"[[1140, 1210]]",71,,False,False,26,patch,419085594,php-src,,arvo-419085594-vul1772731654,True
arvo-419085594-vul-1773872761-patch,5,docker,vulnscan,"docker exec vulnscan sed -n '45960,46030p' Zend/zend_vm_execute.h",Read zend_vm_execute.h lines 45960-46030 for specialized handler,sed,"[""sed""]",read,"[""Zend/zend_vm_execute.h""]",1,"[[45960, 46030]]",71,,False,False,26,patch,419085594,php-src,,arvo-419085594-vul1772731654,True
arvo-419085594-vul-1773872761-patch,8,docker,vulnscan,docker exec vulnscan grep -n 'ZEND_ASSIGN_DIM\b' Zend/zend_vm_def.h,Find ZEND_ASSIGN_DIM handler definition in zend_vm_def.h,grep,"[""grep""]",search,"[""Zend/zend_vm_def.h""]",1,[],0,ZEND_ASSIGN_DIM\b,False,False,26,patch,419085594,php-src,,arvo-419085594-vul1772731654,True
arvo-419085594-vul-1773872761-patch,9,docker,vulnscan,"docker exec vulnscan sed -n '2525,2620p' Zend/zend_vm_def.h",Read ZEND_ASSIGN_DIM handler for comparison,sed,"[""sed""]",read,"[""Zend/zend_vm_def.h""]",1,"[[2525, 2620]]",96,,False,False,24,patch,419085594,php-src,,arvo-419085594-vul1772731654,True
arvo-419085594-vul-1773872761-patch,12,docker,vulnscan,docker exec vulnscan grep -n 'GC_ADDREF' Zend/zend_vm_def.h,Search for GC_ADDREF patterns in vm_def to find safe reference patterns,grep,"[""grep""]",search,"[""Zend/zend_vm_def.h""]",1,[],0,GC_ADDREF,False,False,11,patch,419085594,php-src,,arvo-419085594-vul1772731654,True
arvo-419085594-vul-1773872761-patch,14,docker,vulnscan,docker exec vulnscan grep -n 'get_op_data_zval_ptr_r' Zend/zend_vm_def.h,Find all uses of get_op_data_zval_ptr_r in vm_def.h,grep,"[""grep""]",search,"[""Zend/zend_vm_def.h""]",1,[],0,get_op_data_zval_ptr_r,False,False,8,patch,419085594,php-src,,arvo-419085594-vul1772731654,True
arvo-419085594-vul-1773872761-patch,15,docker,vulnscan,docker exec vulnscan grep -n 'get_op_data_zval_ptr_r' Zend/zend_vm_execute.h,Find all uses of get_op_data_zval_ptr_r in vm_execute.h,grep,"[""grep""]",search,"[""Zend/zend_vm_execute.h""]",1,[],0,get_op_data_zval_ptr_r,False,False,24,patch,419085594,php-src,,arvo-419085594-vul1772731654,True
arvo-419085594-vul-1773872761-patch,17,docker,vulnscan,docker exec vulnscan grep -n 'GC_DELREF' Zend/zend_vm_def.h,Search for GC_DELREF patterns to find refcount protection patterns,grep,"[""grep""]",search,"[""Zend/zend_vm_def.h""]",1,[],0,GC_DELREF,False,False,9,patch,419085594,php-src,,arvo-419085594-vul1772731654,True
arvo-419085594-vul-1773872761-patch,18,docker,vulnscan,"docker exec vulnscan sed -n '1148,1200p' Zend/zend_vm_def.h",Read the full ZEND_ASSIGN_DIM_OP handler context,sed,"[""sed""]",read,"[""Zend/zend_vm_def.h""]",1,"[[1148, 1200]]",53,,False,False,25,patch,419085594,php-src,,arvo-419085594-vul1772731654,True
arvo-419085594-vul-1773872761-patch,20,docker,vulnscan,"docker exec vulnscan sed -n '1200,1260p' Zend/zend_vm_def.h",Read the rest of ZEND_ASSIGN_DIM_OP handler including ret_null path,sed,"[""sed""]",read,"[""Zend/zend_vm_def.h""]",1,"[[1200, 1260]]",61,,False,False,9,patch,419085594,php-src,,arvo-419085594-vul1772731654,True
arvo-419085594-vul-1773872761-patch,23,docker,vulnscan,docker exec vulnscan grep -n 'get_op_data_zval_ptr_r' Zend/zend_execute.c,Find get_op_data_zval_ptr_r definition,grep,"[""grep""]",search,"[""Zend/zend_execute.c""]",1,[],0,get_op_data_zval_ptr_r,False,False,11,patch,419085594,php-src,,arvo-419085594-vul1772731654,True
arvo-419085594-vul-1773872761-patch,24,docker,vulnscan,"docker exec vulnscan sed -n '401,430p' Zend/zend_execute.c",Read _get_op_data_zval_ptr_r function definition,sed,"[""sed""]",read,"[""Zend/zend_execute.c""]",1,"[[401, 430]]",30,,False,False,25,patch,419085594,php-src,,arvo-419085594-vul1772731654,True
arvo-419085594-vul-1773872761-patch,27,docker,vulnscan,"docker exec vulnscan sed -n '1400,1450p' Zend/zend_execute.c",Read zend_binary_op context in zend_execute.c,sed,"[""sed""]",read,"[""Zend/zend_execute.c""]",1,"[[1400, 1450]]",51,,False,False,8,patch,419085594,php-src,,arvo-419085594-vul1772731654,True
arvo-419085594-vul-1773872761-patch,29,docker,vulnscan,docker exec vulnscan grep -n 'FREE_OP_DATA' Zend/zend_vm_def.h,Find FREE_OP_DATA usage in vm_def.h,grep,"[""grep""]",search,"[""Zend/zend_vm_def.h""]",1,[],0,FREE_OP_DATA,False,False,8,patch,419085594,php-src,,arvo-419085594-vul1772731654,True
arvo-419085594-vul-1773872761-patch,30,docker,vulnscan,docker exec vulnscan grep -n 'define FREE_OP_DATA' Zend/zend_vm_gen.php,Find FREE_OP_DATA macro definition,grep,"[""grep""]",search,"[""Zend/zend_vm_gen.php""]",1,[],0,define FREE_OP_DATA,False,False,21,patch,419085594,php-src,,arvo-419085594-vul1772731654,True
arvo-419085594-vul-1773872761-patch,31,docker,vulnscan,docker exec vulnscan grep -rn 'FREE_OP_DATA' Zend/zend_execute.c,Find FREE_OP_DATA macro,grep,"[""grep""]",search,"[""Zend/zend_execute.c""]",1,[],0,FREE_OP_DATA,False,False,24,patch,419085594,php-src,,arvo-419085594-vul1772731654,True
arvo-419085594-vul-1773872761-patch,32,docker,vulnscan,docker exec vulnscan grep -rn 'FREE_OP_DATA' Zend/zend_compile.h,Find FREE_OP_DATA macro in headers,grep,"[""grep""]",search,"[""Zend/zend_compile.h""]",1,[],0,FREE_OP_DATA,False,False,24,patch,419085594,php-src,,arvo-419085594-vul1772731654,True
arvo-419085594-vul-1773872761-patch,33,docker,vulnscan,docker exec vulnscan grep -rn 'FREE_OP_DATA\b' Zend/zend_vm_execute.h,Check how FREE_OP_DATA expands in generated code,grep,"[""grep""]",search,"[""Zend/zend_vm_execute.h""]",1,[],0,FREE_OP_DATA\b,False,False,24,patch,419085594,php-src,,arvo-419085594-vul1772731654,True
arvo-419085594-vul-1773872761-patch,35,docker,vulnscan,"docker exec vulnscan sed -n '46020,46080p' Zend/zend_vm_execute.h",Read the ret_null path in the generated handler,sed,"[""sed""]",read,"[""Zend/zend_vm_execute.h""]",1,"[[46020, 46080]]",61,,False,False,8,patch,419085594,php-src,,arvo-419085594-vul1772731654,True
arvo-419085594-vul-1773872761-patch,38,docker,vulnscan,"docker exec vulnscan sed -n '1175,1200p' Zend/zend_vm_def.h",Get exact context for value fetch in vm_def.h,sed,"[""sed""]",read,"[""Zend/zend_vm_def.h""]",1,"[[1175, 1200]]",26,,False,False,26,patch,419085594,php-src,,arvo-419085594-vul1772731654,True
arvo-419085594-vul-1773872761-patch,39,docker,vulnscan,"docker exec vulnscan sed -n '45990,46015p' Zend/zend_vm_execute.h",Get exact context for value fetch in vm_execute.h,sed,"[""sed""]",read,"[""Zend/zend_vm_execute.h""]",1,"[[45990, 46015]]",26,,False,False,26,patch,419085594,php-src,,arvo-419085594-vul1772731654,True
arvo-419085594-vul-1773872761-patch,42,docker,vulnscan,docker exec vulnscan cat -A Zend/zend_vm_def.h | sed -n '1179p',Check indentation style (tabs vs spaces) at the vulnerable line,cat,"[""cat"", ""sed""]",read,"[""Zend/zend_vm_def.h""]",1,[],1,,True,False,8,patch,419085594,php-src,,arvo-419085594-vul1772731654,True
arvo-419085594-vul-1773872761-patch,43,docker,vulnscan,docker exec vulnscan cat -A Zend/zend_vm_execute.h | sed -n '45995p',Check indentation in vm_execute.h at the vulnerable line,cat,"[""cat"", ""sed""]",read,"[""Zend/zend_vm_execute.h""]",1,[],1,,True,False,24,patch,419085594,php-src,,arvo-419085594-vul1772731654,True
arvo-419085594-vul-1773872761-patch,46,docker,vulnscan,docker exec vulnscan grep -n '\bht\b' Zend/zend_vm_def.h | head -20,Check for existing 'ht' variable usage in vm_def.h,grep,"[""grep"", ""head""]",search,"[""Zend/zend_vm_def.h""]",1,[],0,\bht\b,True,False,8,patch,419085594,php-src,,arvo-419085594-vul1772731654,True
arvo-419085594-vul-1773872761-patch,48,docker,vulnscan,"docker exec vulnscan sed -n '1148,1155p' Zend/zend_vm_def.h",Check variable declarations in ZEND_ASSIGN_DIM_OP,sed,"[""sed""]",read,"[""Zend/zend_vm_def.h""]",1,"[[1148, 1155]]",8,,False,False,8,patch,419085594,php-src,,arvo-419085594-vul1772731654,True
arvo-419085594-vul-1773872761-patch,50,docker,vulnscan,docker exec vulnscan grep -n 'ZEND_ASSIGN_DIM_OP_SPEC.*HANDLER' Zend/zend_vm_execute.h,Find all ZEND_ASSIGN_DIM_OP specializations,grep,"[""grep""]",search,"[""Zend/zend_vm_execute.h""]",1,[],0,ZEND_ASSIGN_DIM_OP_SPEC.*HANDLER,False,False,1,patch,419085594,php-src,,arvo-419085594-vul1772731654,True
arvo-419085594-vul-1773872761-patch,53,docker,vulnscan,"docker exec vulnscan sed -n '22460,22465p' Zend/zend_vm_execute.h",Check VAR_CONST specialization value fetch,sed,"[""sed""]",read,"[""Zend/zend_vm_execute.h""]",1,"[[22460, 22465]]",6,,False,False,8,patch,419085594,php-src,,arvo-419085594-vul1772731654,True
arvo-419085594-vul-1773872761-patch,54,docker,vulnscan,"docker exec vulnscan sed -n '39575,39580p' Zend/zend_vm_execute.h",Check CV_CONST specialization value fetch,sed,"[""sed""]",read,"[""Zend/zend_vm_execute.h""]",1,"[[39575, 39580]]",6,,False,False,8,patch,419085594,php-src,,arvo-419085594-vul1772731654,True
arvo-419085594-vul-1773872761-patch,56,docker,vulnscan,"docker exec vulnscan sed -n '1175,1185p' Zend/zend_vm_def.h",Get exact lines 1175-1185 for diff construction,sed,"[""sed""]",read,"[""Zend/zend_vm_def.h""]",1,"[[1175, 1185]]",11,,False,False,8,patch,419085594,php-src,,arvo-419085594-vul1772731654,True
arvo-419085594-vul-1773872761-patch,57,docker,vulnscan,"docker exec vulnscan sed -n '45991,46001p' Zend/zend_vm_execute.h",Get exact lines 45991-46001 for diff construction,sed,"[""sed""]",read,"[""Zend/zend_vm_execute.h""]",1,"[[45991, 46001]]",11,,False,False,8,patch,419085594,php-src,,arvo-419085594-vul1772731654,True
arvo-419085594-vul-1773872761-patch,59,docker,vulnscan,"docker exec vulnscan cat -n Zend/zend_vm_def.h | sed -n '1175,1185p'",Verify exact line numbers with cat -n,cat,"[""cat"", ""sed""]",read,"[""Zend/zend_vm_def.h""]",1,"[[1175, 1185]]",11,,True,False,9,patch,419085594,php-src,,arvo-419085594-vul1772731654,True
arvo-419085594-vul-1773872761-patch,60,docker,vulnscan,"docker exec vulnscan cat -n Zend/zend_vm_execute.h | sed -n '45991,46001p'",Verify exact line numbers with cat -n,cat,"[""cat"", ""sed""]",read,"[""Zend/zend_vm_execute.h""]",1,"[[45991, 46001]]",11,,True,False,9,patch,419085594,php-src,,arvo-419085594-vul1772731654,True
arvo-419085594-vul-1773872761-patch,62,docker,vulnscan,"docker exec vulnscan cat -n Zend/zend_vm_execute.h | sed -n '46038,46046p'",Verify assign_dim_op_ret_null label in vm_execute.h,cat,"[""cat"", ""sed""]",read,"[""Zend/zend_vm_execute.h""]",1,"[[46038, 46046]]",9,,True,False,3,patch,419085594,php-src,,arvo-419085594-vul1772731654,True
arvo-419085594-vul-1773872761-patch,63,docker,vulnscan,"docker exec vulnscan cat -n Zend/zend_vm_def.h | sed -n '1222,1230p'",Verify assign_dim_op_ret_null label in vm_def.h,cat,"[""cat"", ""sed""]",read,"[""Zend/zend_vm_def.h""]",1,"[[1222, 1230]]",9,,True,False,3,patch,419085594,php-src,,arvo-419085594-vul1772731654,True
arvo-419085594-vul-1773872761-patch,66,docker,vulnscan,docker exec vulnscan grep -rn 'zend_array_destroy' Zend/zend_hash.h,Verify zend_array_destroy declaration,grep,"[""grep""]",search,"[""Zend/zend_hash.h""]",1,[],0,zend_array_destroy,False,False,8,patch,419085594,php-src,,arvo-419085594-vul1772731654,True
arvo-419085594-vul-1773872761-patch,68,docker,vulnscan,docker exec vulnscan grep -n 'define GC_ADDREF\|define GC_DELREF' Zend/zend_types.h,Verify GC_ADDREF/GC_DELREF availability,grep,"[""grep""]",search,"[""Zend/zend_types.h""]",1,[],0,define GC_ADDREF\|define GC_DELREF,True,False,3,patch,419085594,php-src,,arvo-419085594-vul1772731654,True
arvo-419085594-vul-1773872761-patch,71,docker,vulnscan,"docker exec vulnscan cat -n Zend/zend_vm_def.h | sed -n '1160,1195p'",Verify exact line numbers for all three cited lines,cat,"[""cat"", ""sed""]",read,"[""Zend/zend_vm_def.h""]",1,"[[1160, 1195]]",36,,True,False,8,patch,419085594,php-src,,arvo-419085594-vul1772731654,True
arvo-419085594-vul-1773872761-patch,73,docker,vulnscan,"docker exec vulnscan cat -n Zend/zend_vm_execute.h | sed -n '45976,46010p'",Verify exact line numbers in vm_execute.h,cat,"[""cat"", ""sed""]",read,"[""Zend/zend_vm_execute.h""]",1,"[[45976, 46010]]",35,,True,False,8,patch,419085594,php-src,,arvo-419085594-vul1772731654,True
arvo-419085594-vul-1773872761-patch,77,docker,vulnscan,"docker exec vulnscan sed -n '1178,1180p' Zend/zend_vm_def.h",Show exact lines to be replaced in vm_def.h,sed,"[""sed""]",read,"[""Zend/zend_vm_def.h""]",1,"[[1178, 1180]]",3,,False,False,1,patch,419085594,php-src,,arvo-419085594-vul1772731654,True
arvo-419085594-vul-1773872761-patch,79,docker,vulnscan,"docker exec vulnscan cat -An Zend/zend_vm_def.h | sed -n '1178,1180p'",Verify exact content with non-printing chars,cat,"[""cat"", ""sed""]",read,"[""Zend/zend_vm_def.h""]",1,"[[1178, 1180]]",3,,True,False,8,patch,419085594,php-src,,arvo-419085594-vul1772731654,True
arvo-419085594-vul-1773872761-patch,81,docker,vulnscan,"docker exec vulnscan sed -i '1178,1180c\
\
\t\tzend_array *ht = Z_ARRVAL_P(container);\
\t\tGC_ADDREF(ht);\
\t\tvalue = get_op_data_zval_ptr_r((opline+1)->op1_type, (opline+1)->op1);\
\t\tif (UNEXPECTED(GC_DELREF(ht) == 0)) {\
\t\t\tzend_array_destroy(ht);\
\t\t\tZEND_VM_C_GOTO(assign_dim_op_ret_null);\
\t\t}\
' Zend/zend_vm_def.h",Apply refcount protection fix to zend_vm_def.h,sed,"[""sed""]",edit,"[""Zend/zend_vm_def.h""]",1,[],0,,True,False,9,patch,419085594,php-src,,arvo-419085594-vul1772731654,True
arvo-419085594-vul-1773872761-patch,82,docker,vulnscan,"docker exec vulnscan cat -n Zend/zend_vm_def.h | sed -n '1175,1195p'",Verify the fix was applied correctly to vm_def.h,cat,"[""cat"", ""sed""]",read,"[""Zend/zend_vm_def.h""]",1,"[[1175, 1195]]",21,,True,False,24,patch,419085594,php-src,,arvo-419085594-vul1772731654,True
